name,beds,baths,price,sqft,$/sqft,address
"University View, Tower 1",4,2,$1089.00,,,"8400 Baltimore Ave, College Park, MD 20740"
"University View, Tower 1 XL",4,2,$1327.00,,,"8400 Baltimore Ave, College Park, MD 20740"
"University View, Tower 2",4,2,$1059.00,,,"8400 Baltimore Ave, College Park, MD 20740"
University View Tower 2,4,4,$1199.00,,,"8400 Baltimore Ave, College Park, MD 20740"
"University View, Tower 1",2,2,$1299.00,,,"8400 Baltimore Ave, College Park, MD 20740"
"University View, Tower 1 XL",2,2,$1359.00,,,"8400 Baltimore Ave, College Park, MD 20740"
"University View, Tower 2",2,2,$1377.00,,,"8400 Baltimore Ave, College Park, MD 20740"
"University View, Studio",0,1,$2089.00,,,"8400 Baltimore Ave, College Park, MD 20740"
"The Varsity, (1A)",1,1,$2129.00,691,$3.08,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (1B)",1,1,$2059.00,497,$4.14,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (2A)",2,2,$1534.00,876,$1.75,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (2B)",2,2,$1486.00,925,$1.61,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (2C)",2,2,$1544.00,1006,$1.53,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (3A)",3,3,$1199.00,1112,$1.08,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (3C)",3,3,$1199.00,1107,$1.08,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (3E)",3,3,$1199.00,1248,$0.96,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4A)",4,4,$1199.00,1459,$0.82,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4A)",4,3,$1199.00,1459,$0.82,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4A), Shared",4,3,$1089.00,1459,$0.75,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4A), Private Bath",4,3,$1199.00,1459,$0.82,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4C)",4,4,$1199.00,1486,$0.81,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4D)",4,4,$1199.00,1584,$0.76,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4E)",4,4,$1099.00,1348,$0.82,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4E), Renovated",4,4,$1099.00,1348,$0.82,"8150 Baltimore Ave, College Park, MD 20740"
"The Varsity, (4F)",4,4,$1199.00,1459,$0.82,"8150 Baltimore Ave, College Park, MD 20740"
"Terrapin Row, B1",2,2,$999.00,982,$1.02,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, B5",2,2,$1519.00,856,$1.77,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, B6",2,2,$1519.00,861,$1.76,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, B7",2,2,$1529.00,918,$1.67,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, BTH",2,2,$1449.00,940,$1.54,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, S2",0,1,$2079.00,465,$4.47,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, S4",0,1,$2069.00,523,$3.96,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, C1",3,3,$1469.00,1048,$1.40,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D1",4,2,$1199.00,1079,$1.11,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D2",4,2,$1199.00,1118,$1.07,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D3",4,4,$1269.00,1252,$1.01,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D4",4,4,$1289.00,1283,$1.00,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D5",4,4,$1279.00,1286,$0.99,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D6",4,4,$1289.00,1300,$0.99,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D7",4,4,$1289.00,1318,$0.98,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D8",4,4,$1269.00,1367,$0.93,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, D9",4,4,$1289.00,1369,$0.94,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, DTH1",4,2,$1289.00,1739,$0.74,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, DTH2",4,4,$1289.00,1574,$0.82,"4300 Hartwick Rd, College Park, MD 20740"
"Terrapin Row, DTH3",4,4,$1299.00,1820,$0.71,"4300 Hartwick Rd, College Park, MD 20740"
"Union on Knox, S1",0,1,$1850.00,388,$4.77,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, S2",0,1,$1875.00,406,$4.62,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, S3",0,1,$1900.00,407,$4.67,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, S4",0,1,$1925.00,408,$4.72,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, A1 Private",1,1,$2250.00,463,$4.86,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, A1 Top Floor",1,1,$2260.00,463,$4.88,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, A2",1,1,$2260.00,504,$4.48,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, A4",1,1,$2300.00,522,$4.41,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, B2",2,2,$1500.00,760,$1.97,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, B3 Private",2,2,$1700.00,804,$2.11,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, B3 En Suite",2,2,$1700.00,804,$2.11,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, B3 Top Floor",2,2,$1710.00,804,$2.13,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, B3 Top Floor, En Suite",2,2,$1710.00,804,$2.13,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, B4 A",2,2,$1810.00,898,$2.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, B5 A",2,2,$1800.00,978,$1.84,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D3 Private",4,4,$1300.00,1270,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D3 En Suite",4,4,$1350.00,1270,$1.06,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D4 Private",4,4,$1350.00,1274,$1.06,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D4 En Suite",4,4,$1350.00,1274,$1.06,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D4 Top Floor",4,4,$1310.00,1274,$1.03,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D4 Top Floor, En Suite",4,4,$1310.00,1274,$1.03,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D5 Private",4,4,$1325.00,1293,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D5 En Suite",4,4,$1325.00,1293,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D5 Top Floor",4,4,$1325.00,1293,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D5 Top Floor, En Suite",4,4,$1325.00,1293,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D6 Private",4,4,$1325.00,1300,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D6 En Suite",4,4,$1325.00,1300,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D7 Private",4,4,$1315.00,1322,$0.99,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D7 En Suite",4,4,$1315.00,1322,$0.99,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D8 Private",4,4,$1360.00,1330,$1.02,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D8 En Suite",4,4,$1340.00,1330,$1.01,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D9 Private",4,4,$1350.00,1341,$1.01,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D9 En Suite",4,4,$1355.00,1341,$1.01,"4350 Knox Road, College Park, MD 20740"
"Union on Knox, D9 Top Floor",4,4,$1370.00,1341,$1.02,"4350 Knox Road, College Park, MD 20740"
